year,exports,imports,balance_of_trade,openness_ratio,current_account_m,current_account_percgdp,terms_of_trade
1980,"18,979.00","16,006.00","2,973.00",26.0,"–2,071.0",–1.5,92.1
1981,"19,148.00","19,447.00",–299.00,25.3,"–5,225.0",–3.4,91.5
1982,"19,586.00","22,704.00","–3,118.00",24.1,"–8,449.0",–4.8,89.9
1983,"21,314.00","21,983.00",–669.00,22.9,"–6,079.0",–3.2,88.5
1984,"23,830.00","23,700.00",130.00,22.2,"–7,202.0",–3.4,90.8
1985,"30,201.00","30,512.00",–311.00,25.8,"–10,433.0",–4.4,89.4
1986,"32,558.00","36,081.00","–3,523.00",26.4,"–14,506.0",–5.6,80.9
1987,"36,435.00","37,250.00",–815.00,25.8,"–11,448.0",–4.0,76.4
1988,"41,856.00","40,507.00","1,349.00",25.4,"–10,424.0",–3.2,83.1
1989,"44,126.00","47,370.00","–3,244.00",24.9,"–18,481.0",–5.0,95.1
1990,"49,082.00","51,364.00","–2,282.00",24.8,"–23,179.0",–5.7,95.3
1991,"52,622.00","49,684.00","2,938.00",24.6,"–16,577.0",–4.0,90.2
1992,"55,380.00","51,316.00","4,064.00",25.2,"–12,755.0",–3.0,87.4
1993,"60,756.00","59,830.00",926.00,27.1,"–14,082.0",–3.2,83.7
1994,"64,438.00","64,823.00",–385.00,27.6,"–15,213.0",–3.3,81.5
1995,"67,232.00","75,256.00","–8,024.00",28.7,"–26,374.0",–5.3,84.1
1996,"75,913.00","78,096.00","–2,183.00",29.1,"–20,456.0",–3.9,86.6
1997,"80,922.00","79,381.00","1,541.00",28.8,"–16,195.0",–2.9,89.1
1998,"88,534.00","92,184.00","–3,650.00",30.7,"–22,630.0",–3.8,88.3
1999,"85,696.00","97,818.00","–12,122.00",29.5,"–32,452.0",–5.2,83.8
2000,"97,726.00","109,980.00","–12,254.00",31.4,"–31,483.0",–4.8,87.3
2001,"120,347.00","120,626.00",–279.00,34.1,"–17,684.0",–2.5,89.2
2002,"121,126.00","121,996.00",–870.00,32.2,"–19,163.0",–2.5,90.3
2003,"116,079.00","134,097.00","–18,018.00",31.2,"–38,228.0",–4.8,91.9
2004,"109,096.00","132,461.00","–23,365.00",28.1,"–46,366.0",–5.4,98.5
2005,"128,125.00","150,821.00","–22,696.00",30.3,"–57,544.0",–6.2,107.9
2006,"154,088.00","169,583.00","–15,495.00",32.5,"–54,205.0",–5.4,119.8
2007,"169,790.00","184,117.00","–14,327.00",32.7,"–61,073.0",–5.6,129.4
2008,"183,121.00","205,445.00","–22,324.00",33.0,"–72,798.0",–6.2,136.8
2009,"231,572.00","221,287.00","10,285.00",36.2,"–38,184.0",–3.0,146.5
2010,"201,916.00","205,669.00","–3,753.00",31.5,"–57,518.0",–4.4,139.5
