year,males,females,persons,sex_ratio,net_migration_share_of_increase,perc_pop_born_overseas,labour_force,unemp_rate,part_rate
1871,"928,918","771,970","1,700,888",120.3,22.0,46.5,674.4,9.0,39.6
1872,"947,422","795,425","1,742,847",119.1,7.2,,,6.9,
1873,"972,907","821,613","1,794,520",118.4,22.0,,,3.9,
1874,"1,001,096","848,296","1,849,392",118.0,31.2,,,3.4,
1875,"1,028,489","869,734","1,898,223",118.3,37.8,,,4.5,
1876,"1,061,477","897,202","1,958,679",118.3,41.5,,,5.9,
1877,"1,102,340","928,790","2,031,130",118.7,47.5,,,6.4,
1878,"1,132,573","959,591","2,092,164",118.0,35.4,,,5.0,
1879,"1,168,781","993,562","2,162,343",117.6,36.1,,,5.7,
1880,"1,204,514","1,027,017","2,231,531",117.3,34.4,,,6.5,
1881,"1,247,059","1,059,677","2,306,736",117.7,37.9,36.8,917.9,4.6,39.8
1882,"1,289,892","1,098,190","2,388,082",117.5,46.5,,,1.9,
1883,"1,357,423","1,148,313","2,505,736",118.2,59.4,,,2.5,
1884,"1,411,996","1,193,729","2,605,725",118.3,51.1,,,4.2,
1885,"1,460,394","1,234,124","2,694,518",118.3,41.4,,,4.8,
1886,"1,510,954","1,277,096","2,788,050",118.3,41.4,,,4.5,
1887,"1,559,118","1,322,244","2,881,362",117.9,36.2,,,6.3,
1888,"1,610,548","1,371,129","2,981,677",117.5,38.8,,,5.4,
1889,"1,649,094","1,413,383","3,062,477",116.7,28.0,,,4.3,
1890,"1,692,831","1,458,524","3,151,355",116.1,27.7,,,3.9,
1891,"1,736,617","1,504,368","3,240,985",115.4,30.0,31.8,"1,310.5",5.7,40.4
1892,"1,766,772","1,538,981","3,305,753",114.8,–4.8,,,11.1,
1893,"1,791,815","1,570,080","3,361,895",114.1,–13.1,,,16.5,
1894,"1,824,217","1,602,543","3,426,760",113.8,4.9,,,18.7,
1895,"1,855,539","1,636,082","3,491,621",113.4,4.4,,,17.4,
1896,"1,887,174","1,665,924","3,553,098",113.3,10.6,,,12.9,
1897,"1,917,460","1,700,323","3,617,783",112.8,10.8,,,8.4,
1898,"1,937,629","1,727,086","3,664,715",112.2,–1.1,,,8.6,
1899,"1,959,074","1,756,914","3,715,988",111.5,–3.4,,,7.9,
1900,"1,976,992","1,788,347","3,765,339",110.5,–17.9,,,4.8,
1901,"2,004,836","1,820,077","3,824,913",110.2,6.1,22.8,"1,611.0",3.9,42.1
1902,"2,028,008","1,847,310","3,875,318",109.8,–10.0,,"1,649.8",4.8,42.6
1903,"2,045,144","1,871,448","3,916,592",109.3,–25.0,,"1,688.6",8.5,43.1
1904,"2,072,783","1,901,367","3,974,150",109.0,–2.1,,"1,748.5",9.4,44.0
1905,"2,100,118","1,932,859","4,032,977",108.7,–2.1,,"1,730.7",8.6,42.9
1906,"2,126,730","1,964,755","4,091,485",108.2,–6.5,,"1,729.1",6.6,42.3
1907,"2,160,213","2,001,509","4,161,722",107.9,7.4,,"1,765.4",5.2,42.4
1908,"2,193,981","2,038,297","4,232,278",107.6,9.3,,"1,784.0",3.4,42.2
1909,"2,242,215","2,081,745","4,323,960",107.7,18.0,,"1,823.7",3.3,42.2
1910,"2,296,308","2,128,775","4,425,083",107.9,28.6,,"1,885.9",3.3,42.6
1911,"2,382,232","2,191,554","4,573,786",108.7,49.5,17.1,"1,894.0",2.9,41.4
1912,"2,478,230","2,268,359","4,746,589",109.3,52.7,,"1,997.6",2.4,42.1
1913,"2,554,931","2,338,810","4,893,741",109.2,48.1,,"2,087.2",5.0,42.7
1914,"2,577,576","2,394,202","4,971,778",107.7,20.6,,"2,133.0",3.3,42.9
1915,"2,528,076","2,441,381","4,969,457",103.6,–15.9,,"2,150.7",5.9,43.3
1916,"2,437,345","2,480,604","4,917,949",98.3,–35.3,,"2,163.8",3.5,44.0
1917,"2,458,935","2,523,128","4,982,063",97.5,–2.0,,"2,215.1",3.3,44.5
1918,"2,516,527","2,564,385","5,080,912",98.1,20.7,,"2,215.1",3.4,43.6
1919,"2,698,378","2,605,196","5,303,574",103.6,8.1,,"2,189.0",3.6,41.3
1920,"2,751,730","2,659,567","5,411,297",103.5,24.6,,"2,135.8",3.4,39.5
1921,"2,799,415","2,711,529","5,510,944",103.2,20.5,15.5,"2,203.0",5.8,40.0
1922,"2,867,825","2,769,461","5,637,286",103.6,31.3,,"2,277.1",6.1,40.4
1923,"2,932,310","2,823,676","5,755,986",103.8,33.8,,"2,334.2",5.0,40.6
1924,"2,999,567","2,882,435","5,882,002",104.1,34.8,,"2,369.9",4.7,40.3
1925,"3,063,761","2,939,266","6,003,027",104.2,33.3,,"2,476.7",6.3,41.3
1926,"3,126,802","2,997,218","6,124,020",104.3,36.5,,"2,480.5",4.9,40.5
1927,"3,194,858","3,056,158","6,251,016",104.5,40.6,,"2,524.5",4.2,40.4
1928,"3,247,417","3,108,353","6,355,770",104.5,26.0,,"2,570.5",6.2,40.4
1929,"3,284,095","3,152,118","6,436,213",104.2,15.4,,"2,576.1",6.7,40.0
1930,"3,311,722","3,189,029","6,500,751",103.8,–9.4,,"2,565.8",9.8,39.5
1931,"3,332,577","3,220,029","6,552,606",103.5,–20.0,,"2,564.8",16.4,39.1
1932,"3,355,465","3,248,320","6,603,785",103.3,–4.2,,"2,564.8",19.7,38.8
1933,"3,379,049","3,277,646","6,656,695",103.1,3.8,13.6,"2,727.0",18.9,41.0
1934,"3,401,865","3,305,382","6,707,247",102.9,8.3,,"2,758.3",16.0,41.1
1935,"3,423,038","3,332,624","6,755,662",102.7,4.3,,"2,814.0",14.0,41.7
1936,"3,448,026","3,362,387","6,810,413",102.5,7.7,,"2,817.9",11.0,41.4
1937,"3,476,286","3,395,206","6,871,492",102.4,10.7,,"2,818.9",8.8,41.0
1938,"3,507,543","3,428,366","6,935,909",102.3,17.2,,"2,874.5",7.5,41.4
1939,"3,538,660","3,466,252","7,004,912",102.1,22.6,,"2,944.9",8.8,42.0
1940,"3,570,508","3,507,078","7,077,586",101.8,23.5,,"2,992.8",9.0,42.3
1941,"3,598,644","3,544,954","7,143,598",101.5,12.5,,"3,015.3",4.9,42.2
1942,"3,619,699","3,581,397","7,201,096",101.1,10.0,,"3,136.4",1.9,43.6
1943,"3,648,159","3,621,499","7,269,658",100.7,6.1,,"3,284.0",1.0,45.2
1944,"3,682,795","3,664,229","7,347,024",100.5,0.0,,"3,337.7",1.0,45.4
1945,"3,721,866","3,708,331","7,430,197",100.4,0.0,,"3,329.9",1.2,44.8
1946,"3,766,689","3,751,292","7,517,981",100.4,–13.5,,"3,233.2",2.2,43.0
1947,"3,828,462","3,809,501","7,637,963",100.5,8.3,9.8,"3,197.0",2.9,41.9
1948,"3,908,586","3,883,879","7,792,465",100.6,32.8,,"3,263.0",2.0,41.9
1949,"4,047,252","3,998,318","8,045,570",101.2,57.6,,"3,352.5",1.5,41.7
1950,"4,191,445","4,116,036","8,307,481",101.8,56.5,,"3,455.9",1.8,41.6
1951,"4,310,933","4,216,974","8,527,907",102.2,50.6,,"3,572.1",1.1,41.9
1952,"4,425,528","4,314,041","8,739,569",102.6,43.4,,"3,665.6",1.4,41.9
1953,"4,503,278","4,399,408","8,902,686",102.4,25.4,,"3,660.7",2.9,41.1
1954,"4,597,667","4,492,269","9,089,936",102.3,33.9,14.3,"3,702.0",2.0,40.7
1955,"4,713,817","4,598,008","9,311,825",102.5,43.2,,"3,767.1",1.4,40.5
1956,"4,828,846","4,702,025","9,530,871",102.7,42.3,,"3,850.1",1.5,40.4
1957,"4,930,160","4,813,927","9,744,087",102.4,37.7,,"3,889.5",2.0,39.9
1958,"5,026,095","4,921,263","9,947,358",102.1,32.3,,"3,940.0",2.6,39.6
1959,"5,132,363","5,028,605","10,160,968",102.1,34.8,,"3,962.2",2.0,39.0
1960,"5,253,073","5,138,847","10,391,920",102.2,38.0,,"4,061.5",2.4,39.1
1961,"5,374,304","5,268,350","10,642,654",102.0,27.4,16.9,"4,225.0",2.3,39.7
1962,"5,470,040","5,376,019","10,846,059",101.7,27.6,,"4,287.3",3.2,39.5
1963,"5,571,613","5,483,869","11,055,482",101.6,32.2,,"4,369.1",2.2,39.5
1964,"5,682,962","5,597,467","11,280,429",101.5,44.6,,"4,501.5",1.7,39.9
1965,"5,793,629","5,711,779","11,505,408",101.4,45.6,,"4,659.9",1.2,40.5
1966,"5,890,642","5,814,201","11,704,843",101.3,41.8,18.4,"4,903.0",1.4,41.9
1967,"5,992,280","5,919,973","11,912,253",101.2,42.1,,"5,020.0",1.5,42.1
1968,"6,108,185","6,037,397","12,145,582",101.2,45.2,,"5,137.0",1.6,42.3
1969,"6,238,338","6,168,879","12,407,217",101.1,47.1,,"5,262.0",1.5,42.4
1970,"6,364,877","6,298,592","12,663,469",101.1,45.5,,"5,474.0",1.4,43.2
1971,"6,632,838","6,565,542","13,198,380",101.0,36.5,20.0,"5,608.0",1.4,42.5
1972,"6,735,679","6,673,609","13,409,288",100.9,27.1,,"5,754.0",1.9,42.9
1973,"6,835,488","6,778,856","13,614,344",100.8,32.6,,"5,889.0",2.2,43.3
1974,"6,941,940","6,890,038","13,831,978",100.8,40.4,,"5,996.0",1.7,43.3
1975,"7,002,232","6,966,649","13,968,881",100.5,12.9,,"6,120.0",2.4,43.8
1976,"7,065,779","7,044,328","14,110,107",100.3,24.2,20.2,"6,191.0",4.6,43.9
1977,"7,145,407","7,136,126","14,281,533",100.1,36.6,,"6,355.0",4.7,44.5
1978,"7,213,574","7,217,256","14,430,830",99.9,32.4,,"6,404.0",5.7,44.4
1979,"7,293,341","7,309,140","14,602,481",99.8,34.2,,"6,456.0",6.3,44.2
1980,"7,391,427","7,415,943","14,807,370",99.7,46.7,,"6,676.0",6.2,45.1
1981,"7,514,339","7,539,778","15,054,117",99.7,49.0,20.3,"6,810.3",5.9,45.2
1982,"7,633,179","7,655,712","15,288,891",99.7,43.5,,"6,909.8",6.2,45.2
1983,"7,730,415","7,753,081","15,483,496",99.7,27.0,,"6,997.4",9.0,45.2
1984,"7,826,368","7,850,914","15,677,282",99.7,30.6,,"7,135.1",9.6,45.5
1985,"7,940,033","7,960,533","15,900,566",99.7,32.4,,"7,300.3",8.6,45.9
1986,"8,057,320","8,081,449","16,138,769",99.7,43.2,20.8,"7,587.6",7.9,47.0
1987,"8,181,746","8,212,895","16,394,641",99.6,50.0,,"7,757.6",8.3,47.3
1988,"8,325,068","8,362,014","16,687,082",99.6,57.4,,"7,974.5",7.8,47.8
1989,"8,446,656","8,490,067","16,936,723",99.5,51.0,,"8,227.8",6.6,48.6
1990,"8,560,533","8,609,235","17,169,768",99.4,40.9,,"8,443.6",6.2,49.2
1991,"8,659,623","8,719,358","17,378,981",99.3,37.5,22.9,"8,490.0",8.4,48.9
1992,"8,744,793","8,812,340","17,557,133",99.2,26.9,,"8,562.0",10.4,48.8
1993,"8,821,492","8,897,598","17,719,090",99.1,20.1,,"8,618.7",11.0,48.6
1994,"8,906,001","8,987,432","17,893,433",99.1,29.6,,"8,776.1",10.5,49.0
1995,"9,014,765","9,104,851","18,119,616",99.0,45.1,,"9,000.1",8.9,49.7
1996,"9,112,568","9,217,511","18,330,079",98.9,43.8,23.3,"9,119.3",8.4,49.8
1997,"9,195,994","9,314,010","18,510,004",98.7,37.1,,"9,206.7",8.6,49.7
1998,"9,288,411","9,417,209","18,705,620",98.6,42.2,,"9,338.6",8.0,49.9
1999,"9,390,061","9,529,149","18,919,210",98.5,45.9,,"9,414.3",7.4,49.8
2000,"9,496,927","9,644,109","19,141,036",98.5,47.8,,"9,590.5",6.6,50.1
2001,"9,618,412","9,768,049","19,386,461",98.5,53.4,23.1,"9,746.2",6.4,50.3
2002,"9,729,203","9,876,238","19,605,441",98.5,48.6,,"9,901.2",6.7,50.5
2003,"9,842,057","9,985,098","19,827,155",98.6,48.1,,"10,084.6",6.2,50.9
2004,"9,952,665","10,093,338","20,046,003",98.6,47.2,,"10,212.9",5.7,50.9
2005,"10,087,382","10,224,161","20,311,543",98.7,50.5,,"10,529.0",5.2,51.8
2006,"10,248,923","10,378,624","20,627,547",98.8,56.6,24.6,"10,772.8",5.0,52.2
2007,"10,449,776","10,566,345","21,016,121",98.9,61.4,,"11,060.1",4.5,52.6
2008,"10,689,738","10,785,887","21,475,625",99.1,67.0,,"11,359.8",4.2,52.9
2009,"10,886,022","10,979,601","21,865,623",99.1,60.8,,"11,602.5",5.0,53.1
2010,"11,034,979","11,137,490","22,172,469",99.1,52.1,27.0,"11,805.7",5.5,53.2
