year,rgdp,ag_share,mining_share,manuf_share,other_share
1995,"823,697",3,5,15,77
1996,"856,592",4,5,14,77
1997,"890,004",4,5,14,78
1998,"930,268",3,5,14,78
1999,"976,358",3,5,13,79
2000,"1,013,910",3,5,13,79
2001,"1,033,167",4,6,12,78
2002,"1,073,597",4,5,12,79
2003,"1,107,426",3,5,12,79
2004,"1,153,355",3,5,12,80
2005,"1,190,111",3,6,12,80
2006,"1,226,323",3,7,11,79
2007,"1,272,776",2,8,11,79
2008,"1,320,746",3,8,10,80
2009,"1,342,514",3,10,9,78
2010,"1,370,540",2,8,9,81
